,Protein,0mo_NPX,3mo_NPX,6mo_NPX,12mo_NPX,18mo_NPX,24mo_NPX,30mo_NPX,36mo_NPX,48mo_NPX,54mo_NPX,60mo_NPX
211,Q9NQ79,,,,,,,,,,,35553.45
212,Q9NYU2,,,,,,,,,,,116151.0
213,Q9UBR2,,,,,,,,,,,13942.9
214,Q9UBX5,,,,,,,,,,,35341.55
215,Q9UHG2,,,,,,,,,,,204471.5
216,Q9UNU6,,,,,,,,,,,17722.5
217,Q9Y646,,,,,,,,,,,19946.55
218,Q9Y6R7,,,,,,,,,,,18154.4
219,P01594,,,,,,,,,,,13106.7
220,P02792,,,,,,,,,,,16732.0
221,P32754,,,,,,,,,,,65328.0
222,P60174,,,,,,,,,,,13998.7
223,Q13449,,,,,,,,,,,23985.4
224,Q99683,,,,,,,,,,,100258.0
225,Q99829,,,,,,,,,,,14211.6
226,Q9UKV8,,,,,,,,,,,65115.95
